variant,flags,returncode,train_minutes,head
baseline,,0,52.428967710336046,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_184201\train\baseline\run_20260906_184206\best_models\best_pixel_auroc.pt
featnorm,--feat_norm,0,51.68130339384079,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_184201\train\featnorm\run_20260906_193433\best_models\best_pixel_auroc.pt
featnorm_clamp19,--feat_norm --clamp_scale 1.9,0,77.72186066706975,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_184201\train\featnorm_clamp19\run_20260906_202615\best_models\best_pixel_auroc.pt
