n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
4,64,reflect,2,zero,max,0.6875,0.508823750283618,0.4999999952000001,658686.8125
4,64,reflect,2,zero,topk_0.1,0.6820652173913043,0.5066068580919587,0.4999999951020409,50649.78125
4,64,reflect,2,zero,topk_0.05,0.6834239130434783,0.5069895111531832,0.4999999951020409,94702.0078125
4,64,reflect,2,mean_impute,mean,0.7989130434782609,0.630728493320405,0.6666666616712582,1.1826326847076416
4,64,reflect,2,mean_impute,max,0.7038043478260869,0.4063336542684369,0.5238095190929706,50.143310546875
4,64,reflect,2,mean_impute,topk_0.1,0.8070652173913044,0.5904872755958571,0.6666666616712582,6.309117794036865
4,64,reflect,2,mean_impute,topk_0.05,0.8125,0.5983220738360778,0.6486486437399562,9.276208877563477
4,64,replicate,0,zero,mean,0.4592391304347826,0.24575411683408407,0.4210526282548477,10.148659706115723
4,64,replicate,0,zero,max,0.28125,0.1911961643256722,0.4102564069953978,1948.505126953125
4,64,replicate,0,zero,topk_0.1,0.40217391304347827,0.2229860222013482,0.4210526282548477,71.2806167602539
4,64,replicate,0,zero,topk_0.05,0.35733695652173914,0.21075335926410171,0.4102564069953978,114.14476013183594
4,64,replicate,0,mean_impute,mean,0.6929347826086957,0.42685033034602177,0.5283018825774297,1.7833622694015503
4,64,replicate,0,mean_impute,max,0.41032608695652173,0.22006609881697123,0.41095890068680807,79.42338562011719
4,64,replicate,0,mean_impute,topk_0.1,0.6807065217391304,0.38778398883669846,0.519999995648,10.996647834777832
4,64,replicate,0,mean_impute,topk_0.05,0.6508152173913043,0.36199528654685986,0.5090909049652893,16.786779403686523
4,64,replicate,1,zero,mean,0.39809782608695654,0.2684961425580037,0.4266666633102223,86.1783447265625
4,64,replicate,1,zero,max,0.39673913043478265,0.26947724803254636,0.4210526282548477,15655.7060546875
4,64,replicate,1,zero,topk_0.1,0.3994565217391304,0.2694394482135053,0.4266666633102223,711.3521728515625
4,64,replicate,1,zero,topk_0.05,0.40217391304347827,0.2703859706238435,0.4266666633102223,1258.2802734375
4,64,replicate,1,mean_impute,mean,0.6453804347826086,0.3333147305458678,0.5357142816326531,1.3348302841186523
4,64,replicate,1,mean_impute,max,0.6684782608695652,0.34601451772696123,0.6190476143310658,155.46388244628906
4,64,replicate,1,mean_impute,topk_0.1,0.626358695652174,0.3125321905023917,0.5555555513854595,7.746964931488037
4,64,replicate,1,mean_impute,topk_0.05,0.6209239130434783,0.3071981859678302,0.5555555513854595,12.0167875289917
4,64,replicate,2,zero,mean,0.7364130434782609,0.5889051443192864,0.6060606010651974,6306.75927734375
4,64,replicate,2,zero,max,0.7364130434782609,0.5865336636116543,0.6111111061728396,959883.75
4,64,replicate,2,zero,topk_0.1,0.7364130434782609,0.5889051443192864,0.6060606010651974,59023.953125
4,64,replicate,2,zero,topk_0.05,0.7350543478260869,0.5876596733047936,0.6060606010651974,110586.765625
4,64,replicate,2,mean_impute,mean,0.7866847826086957,0.6491742306813251,0.6857142807510205,1.1345736980438232
4,64,replicate,2,mean_impute,max,0.71875,0.4040303329365829,0.5454545413289257,34.307769775390625
4,64,replicate,2,mean_impute,topk_0.1,0.8057065217391304,0.6193773153438734,0.6857142807510205,6.043428897857666
4,64,replicate,2,mean_impute,topk_0.05,0.8233695652173914,0.5886094771771382,0.6857142807510205,9.170462608337402
4,112,reflect,0,zero,mean,0.5638586956521738,0.27848741630170404,0.47272726860165293,11.666033744812012
4,112,reflect,0,zero,max,0.4728260869565217,0.24558854793685778,0.41666666320987655,2313.046875
4,112,reflect,0,zero,topk_0.1,0.5285326086956521,0.2617608663008067,0.45901638957269564,80.03190612792969
