Method,road_most,road_least,road_delta,sanity,time
GradCAM,4.1586833,3.9272807,0.23140264,-0.028147159218643848,8.040506420135499
GradCAM++,8.574098,0.06619988,8.507897,0.6909596020840121,6.847622961997986
XGradCAM,4.1607037,3.9188735,0.24183011,-0.01710428299278125,8.137720503807067
InputGradient,8.625079,0.03705908,8.58802,0.7817978803649286,6.73407778263092
SEAttention,5.803355,0.1340825,5.669273,0.23724898361084926,7.061981272697449
