class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
vari-grip,0.000000,0.416667,0.666667,0.652063,0.023982,0.053304,0.436284,112.278496,31.582155,8.906425,31.663450,2.367467
MÉDIA,0.000000,0.416667,0.666667,0.652063,0.023982,0.053304,0.436284,112.278496,31.582155,8.906425,31.663450,2.367467
