pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.866041505344487,0.0009326259866245445,0.003641660597232338
0,reflect,none,L2,0.657447612098115,0.00023399462838791157,0.0005769211435412286
0,reflect,none,L3,0.926818104487787,0.0024000860689152997,0.007934850699519734
0,reflect,flips,L1,0.8698394069551408,0.0009709379825824818,0.003956478733926805
0,reflect,flips,L2,0.6757452602777085,0.0002478724680085732,0.0006140863484642889
0,reflect,flips,L3,0.9410323005483523,0.003844485892350026,0.012669117072026278
112,reflect,none,L1,0.8665567501688938,0.0009419875866686514,0.003785121560634736
112,reflect,none,L2,0.6800424573982945,0.0002489029259505838,0.0006264888541150006
112,reflect,none,L3,0.9307499750479956,0.0024043020113295407,0.007320749300222494
112,reflect,flips,L1,0.8712010926651297,0.0009911286426719033,0.004096452844241691
112,reflect,flips,L2,0.7002437745742518,0.00026800419116782296,0.0006744078076431242
112,reflect,flips,L3,0.9431522020788214,0.004004116639056589,0.013324564664169501
