Method,image_auc,pixel_auc,iou,dice,road_most,road_least,road_delta,sanity,time
GradCAM,,0.6311481220544283,0.0018498647183737176,0.003663466152940411,0.9233037829399109,1.1087005138397217,-0.1853967308998108,-0.23907812524012376,11.314804878234863
GradCAM++,,0.7728742574133666,0.002652419505691369,0.00527085968095506,1.0984491109848022,0.9093778133392334,0.18907129764556885,0.8123861412876402,10.570228142738342
XGradCAM,,0.6311480957548062,0.0018498647183737176,0.003663466152940411,0.9226000308990479,1.1039906740188599,-0.181390643119812,-0.23825313374399817,10.356776309013366
InputGradient,,0.7769237240948289,0.0025340143790754427,0.005038740097637827,0.8354145288467407,0.6409624218940735,0.19445210695266724,0.7646611774536988,10.506636652946472
SEAttention,,0.7624856582962722,0.002385566384386144,0.004728248073141723,0.8938489556312561,0.7685437202453613,0.12530523538589478,0.32545490173624286,10.881017117500305
CFLOW,0.5,0.798175279621338,0.002515871438551173,0.005006056592265444,1.2147343158721924,0.840191125869751,0.3745431900024414,0.5321485606679078,0.08726152420043945
