pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.7494248205769058,0.01192277300869863,0.02541558241617946
0,reflect,none,L2,0.770171166747311,0.0128336202428524,0.02740358698766211
0,reflect,none,L3,0.8269968549359586,0.019270639299628547,0.04347229094828144
0,reflect,flips,L1,0.7508810973404708,0.011971559948874028,0.025712933666463603
0,reflect,flips,L2,0.7835151886465607,0.013400139490092144,0.028636277915680266
0,reflect,flips,L3,0.8468724167573287,0.020777367169465502,0.0552109611651396
112,reflect,none,L1,0.7563194314903192,0.012276849762512348,0.026101839965768082
112,reflect,none,L2,0.8017756638800201,0.01548541669080761,0.03326155678746506
112,reflect,none,L3,0.8257964701844726,0.018825379109028664,0.04343260070512339
112,reflect,flips,L1,0.7573505226569683,0.012330742191050422,0.026393454142300574
112,reflect,flips,L2,0.8153553848804787,0.01635572724958907,0.035642613117417093
112,reflect,flips,L3,0.8582554968415729,0.02522733550083102,0.060914971121483676
