Method,road_most,road_least,road_delta,time
GradCAM,4.8669286,2.9079995,1.9589291,7.391720843315125
GradCAM++,8.271273,0.0647345,8.206538,6.454636335372925
XGradCAM,4.8726835,2.9309123,1.9417713,7.441368865966797
InputGradient,8.478603,0.021173965,8.457429,6.247864174842834
SEAttention,6.2003155,0.12885343,6.071462,6.600991106033325
