Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
1	-0.858069	11501.388630	0.930881	0.648292
2	-1.127217	337567.497831	0.965069	0.658483
3	-1.132676	507.354134	0.948161	0.629173
4	-1.149584	161852.536292	0.961167	0.672323
5	-1.143625	182976.423689	0.942215	0.663027
6	-1.141063	11592.258665	0.964326	0.619653
7	-1.154419	34.145235	0.952062	0.688319
8	-1.152538	79863.953458	0.929208	0.643028
9	-1.158341	685.370997	0.947603	0.632096
10	-1.155738	263.239909	0.957451	0.666386
11	-1.164804	98756.013375	0.961724	0.666671
12	-1.164094	45082.832692	0.927536	0.640332
13	-1.161565	1147.260560	0.937198	0.666883
14	-1.166844	620.143937	0.945931	0.668645
15	-1.175701	3589.857184	0.933110	0.657297
16	-1.173815	4.379994	0.921405	0.632803
17	-1.174535	244.464290	0.933482	0.654533
18	-1.179789	1.781639	0.959495	0.626501
19	-1.188452	60173.597973	0.960238	0.667407
20	-1.183022	1112.305781	0.955779	0.656304
21	-1.193025	19866.415697	0.961910	0.662383
22	-1.177028	320.103383	0.953177	0.639517
23	-1.180822	5576.137837	0.951133	0.640829
24	-1.197316	483.680434	0.934783	0.629596
25	-1.195435	399135.567406	0.952991	0.643316
26	-1.194910	1181.792620	0.920476	0.652716
27	-1.200391	34104.799892	0.960424	0.672071
28	-1.197866	12534.404941	0.970829	0.647922
29	-1.209762	91003.765692	0.961724	0.663000
30	-1.205213	26.563675	0.947975	0.655394
31	-1.203646	3.020452	0.940914	0.662265
32	-1.209999	31.068850	0.950948	0.662206
33	-1.214087	6.852345	0.960795	0.662353
34	-1.212880	-0.310505	0.965069	0.668004
35	-1.211214	-0.660980	0.960052	0.670060
36	-1.215499	-0.512729	0.932739	0.644964
37	-1.219574	34.041450	0.952991	0.665338
38	-1.225234	588073.082741	0.951133	0.627265
39	-1.228254	1.110072	0.960052	0.629907
40	-1.223767	14.260589	0.941286	0.640659
41	-1.223471	653.748590	0.952991	0.674684
42	-1.233875	15852.708934	0.931067	0.653384
43	-1.229718	36.366462	0.943144	0.672899
44	-1.230472	395.482625	0.928094	0.675227
45	-1.230325	787.398375	0.930323	0.673771
46	-1.234283	36.640175	0.965812	0.668977
47	-1.238482	1914.034566	0.970085	0.669439
48	-1.238251	672.248725	0.959495	0.663529
49	-1.242846	70.939637	0.922334	0.659158
