pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8644972509880597,0.051601134906678545,0.0926544490302162
0,reflect,none,L2,0.870767942314971,0.053229488429795926,0.10343711055304763
0,reflect,none,L3,0.8266768998806523,0.037244729589639536,0.07661075040789124
0,reflect,flips,L1,0.8666680195512774,0.05295178261562106,0.09337797965319211
0,reflect,flips,L2,0.8678548339261444,0.050667730526519156,0.09945244837186876
0,reflect,flips,L3,0.8372153479026048,0.038576656356839094,0.0774554148039798
112,reflect,none,L1,0.8708630486501778,0.052968136627242285,0.09479542434999362
112,reflect,none,L2,0.8700073342358292,0.05259097240719088,0.10273942797247518
112,reflect,none,L3,0.8078412719776057,0.033385809886559786,0.06771838498371825
112,reflect,flips,L1,0.8725884758549616,0.05412605150539812,0.09432617199400446
112,reflect,flips,L2,0.8673543354392157,0.050114638145101816,0.09881648670991826
112,reflect,flips,L3,0.8196465229884004,0.03477023959823188,0.06857006281870442
