Model Group,Class,Img AUROC,Img Accuracy,Img F1,Img Precision,Img Recall,Img PR-AUC,Img PG2,Pix AUROC,Pix Accuracy,Pix F1,Pix Precision,Pix Recall,Pix PR-AUC,Pix PG2,Latency (ms/img),Peak RAM (MB),Peak VRAM (MB)
CBAMDiffernet,glass-insulator,0.48279536358438585,0.7164869029275809,0.21367521367521367,0.1488095238095238,0.3787878787878788,0.12054773581552923,0.010291595197255532,0.6132677939692748,0.6259979770198799,0.015571177162317838,0.010854053471422072,0.6518938582116972,0.006216555357142472,0.40865189755994313,14.31961500520699,2684.046875,5832.9697265625
CBAMDiffernet,lightning-rod-suspension,0.7633547008547008,0.6592592592592592,0.5964912280701754,0.4533333333333333,0.8717948717948718,0.53631740986332,0.23958333333333337,0.6316176450833955,0.5519631154745551,0.07621777349244069,0.04488958515656337,0.7285490079100873,0.03701188071939075,0.32214904374315056,21.44754018496584,3208.90625,5739.904296875
CBAMDiffernet,polymer-insulator-upper-shackle,0.8334054834054834,0.8056537102473498,0.6099290780141844,0.5512820512820513,0.6825396825396826,0.5661062751752788,0.24545454545454548,0.4617255648090006,0.35513302698311466,0.06882261894862135,0.04021530808915335,0.7620791362947393,0.032367622784027036,0.11042633973299394,17.879492468315807,3222.15625,5662.474609375
CBAMDiffernet,vari-grip,0.5557017543859649,0.4025974025974026,0.4523809523809524,0.296875,0.95,0.31777340102517715,0.0,0.7058773821058645,0.825285495057398,0.17684987489064824,0.12277096643686566,0.4022041321505606,0.10152933915808951,0.2461789062720273,19.93958076292818,3009.40625,5665.779296875
CBAMDiffernet,yoke-suspension,0.4649940968122786,0.3886572143452877,0.07332490518331226,0.038821954484605084,0.6590909090909091,0.03237356713674079,0.016450216450216493,0.6798755019088151,0.7681356322713744,0.10186905452868907,0.06750992151081357,0.4610791729953197,0.05149181777706444,0.3210162160086219,6.4746021690022655,3077.33203125,5817.037109375
Differnet,glass-insulator,0.27735329279068555,0.10477657935285054,0.18513323983169705,0.10200927357032458,1.0,0.06656164747716675,0.0034305317324184736,0.5,0.0012132545963461142,0.0024187068018285793,0.0012132545963461142,1.0,0.0012132545963461142,0.0,11.684146111340295,3074.91796875,5920.880859375
Differnet,lightning-rod-suspension,0.8141025641025641,0.7481481481481481,0.6304347826086957,0.5471698113207547,0.7435897435897436,0.6871422272792924,0.3125,0.6471966069781276,0.6324741184534711,0.07785679582930878,0.048938528676587545,0.6308845668278403,0.03555234923087402,0.3322475428717335,20.242738006291567,3067.33984375,5206.89208984375
Differnet,polymer-insulator-upper-shackle,0.7738095238095238,0.7420494699646644,0.562874251497006,0.4519230769230769,0.746031746031746,0.5220231115755056,0.11363636363636365,0.5171587749552116,0.4259713744128604,0.07556612517967527,0.04436827721838094,0.7281952001074955,0.036520241422319896,0.1495199608131765,16.761131610971457,3036.95703125,5130.58740234375
Differnet,vari-grip,0.4410087719298246,0.33766233766233766,0.43333333333333335,0.2785714285714286,0.975,0.25623039895538197,0.0,0.7134073231276841,0.8283125066432824,0.1797846826467075,0.12667635285874204,0.38911829684558497,0.10333916843801376,0.24239943703639705,18.757528710094363,3004.95703125,5130.59521484375
Differnet,yoke-suspension,0.48315623770169225,0.957464553794829,0.10526315789473684,0.23076923076923078,0.06818181818181818,0.057550806901333275,0.019913419913419883,0.667632865839241,0.6724580990066481,0.0950631153276199,0.059192463121600244,0.5621794916868109,0.046786863413309024,0.3508579816740384,5.871875567347731,3006.22265625,5298.43896484375
SEDiffernet,glass-insulator,0.675346951504756,0.8212634822804314,0.2926829268292683,0.24489795918367346,0.36363636363636365,0.2487721315012334,0.16295025728987989,0.6574622850702486,0.6740489119325617,0.01775472325352276,0.013274524650559328,0.6375678768529194,0.005898810357983588,0.4707314429226752,11.124842638043665,2973.75,5644.91162109375
SEDiffernet,lightning-rod-suspension,0.6452991452991453,0.5777777777777777,0.5128205128205128,0.38461538461538464,0.7692307692307693,0.43989730271261834,0.07291666666666663,0.6478098679162608,0.6059913548752835,0.08829513236813848,0.05556097864203029,0.6525583401533827,0.043294682545722475,0.37326299708566046,20.37457020746337,2941.515625,5439.98193359375
SEDiffernet,polymer-insulator-upper-shackle,0.8300144300144299,0.8657243816254417,0.6607142857142857,0.7551020408163265,0.5873015873015873,0.7227039851477742,0.14090909090909087,0.493404494560145,0.40466694800440023,0.07435763399815919,0.0417462105972468,0.7732864510394166,0.034101095639824476,0.14928610335153314,16.915295628481953,2942.00390625,5372.62255859375
SEDiffernet,vari-grip,0.5989035087719299,0.44805194805194803,0.45161290322580644,0.30434782608695654,0.875,0.3604418712868062,0.052631578947368474,0.70545676519174,0.8005120309842688,0.17276533699686658,0.11676952366480368,0.43222468959662025,0.09827956432222816,0.2266504407351774,18.81765230716049,2910.0234375,5375.81005859375
SEDiffernet,yoke-suspension,0.4701101928374656,0.6388657214345288,0.0728051391862955,0.04018912529550828,0.38636363636363635,0.034689534663326076,0.0051948051948051965,0.6568681207860995,0.6911038674169953,0.09341431165601294,0.05561404463990771,0.5621427915142004,0.045913364894533654,0.31950931734320237,5.905390065396399,2881.55859375,5549.21630859375
