pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8731964966137293,0.05320555322198833,0.09941439749195533
0,reflect,none,L2,0.7383829006095748,0.022107930028064264,0.04854218885580852
0,reflect,none,L3,0.7603709790270616,0.025566092611567573,0.05130133123707641
0,reflect,flips,L1,0.8762593943327468,0.05530660828148732,0.10111131160243278
0,reflect,flips,L2,0.7425730322811337,0.021452829667137924,0.05058141043943208
0,reflect,flips,L3,0.7819760951315818,0.029288414877276042,0.05893157423268534
112,reflect,none,L1,0.885439853147908,0.05967484774534053,0.11118449034513159
112,reflect,none,L2,0.8285723981819303,0.03543722314594848,0.0700628819058319
112,reflect,none,L3,0.779120313571797,0.02795896774468294,0.05595870412059917
112,reflect,flips,L1,0.8882352905818032,0.06256196325726,0.11243513075125001
112,reflect,flips,L2,0.8326613348153568,0.03609043271389328,0.07130341894259642
112,reflect,flips,L3,0.7989845891941822,0.033202908052979464,0.06574141317056605
