Method,pixel_auc,iou,dice,road_most,road_least,road_delta,time
GradCAM,0.544706080846705,0.032692526243207655,0.06182189070102636,1.0092758,1.7631594,-0.7538836,6.3964796423912045
GradCAM++,0.8905702402188094,0.07177178184319125,0.1307396236553539,4.13412,0.6915206,3.4425993,6.496256875991821
XGradCAM,0.5447060696218605,0.032692526243207655,0.06182189070102636,1.011336,1.7658207,-0.7544848,6.6170062780380245
InputGradient,0.8364863968485604,0.08116318894115433,0.1454687890876614,3.8601995,0.83686364,3.023336,6.9038602113723755
SEAttention,0.827446088458405,0.05744843438848295,0.10663010551540338,3.732642,0.57337564,3.1592662,6.911749184131622
