pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8459246992785303,0.020613543649064606,0.049323276446449064
0,reflect,none,L2,0.7922972519493581,0.012181335692282465,0.028077037743724283
0,reflect,none,L3,0.8645982467369093,0.04444159437801893,0.114567322167113
0,reflect,flips,L1,0.8486313105467285,0.02130700673580945,0.05112473810305319
0,reflect,flips,L2,0.8014158673647698,0.012361374418873649,0.027857374179610477
0,reflect,flips,L3,0.8744490781722605,0.05829660076276698,0.14067163875627273
112,reflect,none,L1,0.8500559414276582,0.02138245956773817,0.051174421720103606
112,reflect,none,L2,0.79306364611311,0.01157094580607132,0.02667278909626571
112,reflect,none,L3,0.8692351458768547,0.048575792375870286,0.12165483719517248
112,reflect,flips,L1,0.85241538445516,0.022053341978038245,0.052514364478310024
112,reflect,flips,L2,0.7979590723035673,0.012001604823719708,0.02658871200961373
112,reflect,flips,L3,0.8792171852904113,0.06140408956677829,0.14556129515579677
