class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
glass-insulator,0.560000,0.545000,0.769231,0.789321,0.002240,0.006983,0.197155,113.754643,131.416751,8.790850,7.609380,1.076275
lightning-rod-suspension,1.000000,1.000000,1.000000,0.774797,0.024304,0.051871,0.345918,121.384856,133.132924,8.238260,7.511290,2.504633
polymer-insulator-upper-shackle,1.000000,1.000000,1.000000,0.493121,0.013986,0.042781,0.005901,113.482131,124.805459,8.811960,8.012470,2.325539
vari-grip,1.000000,1.000000,1.000000,0.542236,0.031366,0.083740,0.001835,122.909464,132.583441,8.136070,7.542420,2.271625
yoke-suspension,1.000000,1.000000,1.000000,0.807548,0.031322,0.092858,0.470933,125.389334,131.178336,7.975160,7.623210,1.209303
MÉDIA,0.912000,0.909000,0.953846,0.681405,0.020644,0.055646,0.204348,119.384085,130.623382,8.390460,7.659754,1.877475
