pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8777917807744897,0.06039130814280906,0.10953179473008832
0,reflect,none,L2,0.857293784234225,0.046770920320025014,0.08901191408332139
0,reflect,none,L3,0.8187020011277814,0.03563128104746661,0.07366532590459238
0,reflect,flips,L1,0.8792378622784914,0.061175532715221,0.11036067097534757
0,reflect,flips,L2,0.8575027022856978,0.04649915520965937,0.08961623775009829
0,reflect,flips,L3,0.8284747934422428,0.03862310902997694,0.07823385514040425
112,reflect,none,L1,0.8828584852110868,0.06296129958370553,0.11249330397000178
112,reflect,none,L2,0.8639585469024267,0.05024860387079247,0.09505898374050437
112,reflect,none,L3,0.825129608565489,0.03758424810111206,0.07698732379533305
112,reflect,flips,L1,0.883992883964639,0.06355854009639884,0.11292360300183729
112,reflect,flips,L2,0.8657038896058056,0.05039794274356536,0.09632530038376691
112,reflect,flips,L3,0.8357507027765204,0.04205327093567766,0.08479104997546914
