class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
glass-insulator,0.784974,0.345000,0.425000,0.843362,0.000643,0.002364,0.482252,118.810630,54.296222,8.416755,18.417488,1.974790
lightning-rod-suspension,0.967298,0.950285,0.894118,0.848490,0.035577,0.081652,0.453130,101.290352,49.596322,9.872609,20.162785,2.487499
polymer-insulator-upper-shackle,0.955112,0.896517,0.842767,0.796984,0.024538,0.049881,0.500634,93.766345,45.442558,10.664807,22.005803,2.307462
vari-grip,0.918640,0.753687,0.750000,0.893919,0.098970,0.168706,0.657339,111.426691,51.646845,8.974510,19.362267,1.728755
yoke-suspension,0.953802,0.430119,0.524272,0.674012,0.001479,0.004111,0.469407,109.173608,51.340200,9.159723,19.477914,1.430517
MÉDIA,0.915965,0.675121,0.687231,0.811353,0.032241,0.061343,0.512552,106.893525,50.464429,9.417681,19.885252,1.985805
