Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
1	-3.653619	-3.030520	0.924603	0.486407
2	-3.658150	-3.476900	0.930519	0.459910
3	-3.657059	-3.428743	0.937013	0.494675
4	-3.666212	-3.473654	0.855483	0.491670
5	-3.668894	148.908769	0.880014	0.507941
6	-3.669803	-3.482037	0.929509	0.507989
7	-3.673294	-3.470706	0.942352	0.465386
8	-3.674302	-3.478858	0.933261	0.485285
9	-3.680728	-3.464148	0.939827	0.438961
10	-3.680984	-3.471801	0.920779	0.503461
11	-3.680440	-3.503518	0.916883	0.455284
12	-3.685802	-3.490504	0.947258	0.519402
13	-3.688545	-3.500976	0.896320	0.493921
14	-3.689288	-3.491064	0.924459	0.485841
15	-3.692580	-3.488574	0.887374	0.471241
16	-3.696384	-3.470548	0.940693	0.503205
17	-3.701469	-3.442521	0.924098	0.484248
18	-3.698816	-3.480284	0.941631	0.518483
19	-3.697994	-3.499025	0.928571	0.475784
20	-3.703094	-3.496731	0.918326	0.470896
21	-3.705892	-3.491267	0.915512	0.494097
22	-3.702729	-3.497844	0.938167	0.484272
23	-3.707740	-3.485395	0.962338	0.520360
24	-3.707773	-3.512974	0.912121	0.476586
25	-3.709387	-3.507729	0.930087	0.495753
26	-3.713640	-3.509823	0.912554	0.463290
27	-3.714092	-3.509115	0.920130	0.480862
28	-3.716150	-3.499728	0.935209	0.483029
29	-3.716175	-3.507052	0.925253	0.515744
30	-3.714223	-3.508211	0.910390	0.499690
31	-3.717112	-3.506344	0.929149	0.463636
32	-3.720086	-3.499029	0.932900	0.514140
33	-3.718037	-3.499695	0.938961	0.469614
34	-3.722678	-3.510756	0.907071	0.501988
35	-3.722563	-3.482311	0.925397	0.468026
36	-3.725008	-3.501174	0.934560	0.494471
37	-3.722181	-3.496591	0.918615	0.479500
38	-3.728287	-3.519135	0.925036	0.512326
39	-3.732574	-3.507435	0.928355	0.512086
40	-3.729701	-3.508556	0.927128	0.487077
41	-3.732006	-3.511278	0.897403	0.509395
42	-3.735074	-3.515806	0.910750	0.465296
43	-3.735088	-3.506792	0.914646	0.488766
44	-3.729916	-3.490676	0.940837	0.500854
45	-3.731362	-3.510878	0.879221	0.469696
46	-3.313674	-3.521207	0.919913	0.503146
47	-3.734995	-3.515280	0.912843	0.490869
48	-3.741443	-3.511870	0.920274	0.502953
49	-3.734143	-3.509151	0.900649	0.533128
50	-3.740293	-3.501043	0.909452	0.487309
51	-3.736569	-3.520323	0.927706	0.491573
52	-3.740559	-3.510413	0.938384	0.464488
53	-3.739587	-3.507373	0.902453	0.506780
54	-3.741453	-3.510614	0.899134	0.463023
55	-3.744562	-3.509437	0.916739	0.488973
56	-3.741165	-3.516976	0.920563	0.489628
57	-3.741958	-3.501953	0.904978	0.477561
58	-3.744166	-3.515519	0.924387	0.481600
59	-3.746162	-3.508307	0.934993	0.503657
60	-3.739533	-3.499361	0.923016	0.490008
61	-3.741112	-3.511985	0.937662	0.478271
62	-3.746874	-3.513526	0.925397	0.527654
63	-3.746529	-3.505933	0.924098	0.494362
64	-3.743778	-3.516824	0.924098	0.498382
65	-3.748987	-3.501531	0.914574	0.467003
66	-3.748829	-3.510885	0.924170	0.499366
67	-3.751071	-3.511343	0.934416	0.470689
68	-3.747154	-3.517074	0.924964	0.470372
69	-3.749246	-3.497418	0.920563	0.482266
70	-3.751920	-3.505648	0.902020	0.507841
71	-3.753981	-3.503149	0.912266	0.489710
72	-3.753387	-3.507432	0.915945	0.488183
73	-3.752836	-3.509928	0.903175	0.483319
74	-3.751717	-3.491236	0.911111	0.490780
75	-3.754125	-3.494664	0.943867	0.499042
76	-3.752034	-3.506243	0.913853	0.494537
77	-3.754544	-3.514668	0.909163	0.493517
78	-3.755634	-3.513293	0.928644	0.480713
79	-3.753701	-3.505359	0.910245	0.487669
80	-3.754172	-3.510905	0.917172	0.503637
81	-3.760302	-3.519666	0.899206	0.517931
82	-3.758845	-3.507077	0.939538	0.478073
83	-3.755654	-3.507171	0.916378	0.502440
84	-3.756732	-3.512701	0.913709	0.490615
85	-3.757498	-3.509723	0.910462	0.517628
86	-3.759888	-3.501731	0.906277	0.464267
87	-3.760396	-3.517390	0.918254	0.499638
88	-3.760843	-3.509214	0.906061	0.494731
89	-3.763592	-3.511412	0.901299	0.480291
90	-3.761994	-3.505308	0.906566	0.493663
91	-3.760436	-3.511997	0.902670	0.472578
92	-3.760506	-3.500644	0.908442	0.495371
93	-3.762095	-3.484224	0.917749	0.486432
94	-3.762483	-3.499798	0.910462	0.496670
95	-3.760610	-3.502068	0.903463	0.464343
96	-3.763132	-3.502575	0.932900	0.510751
97	-3.762350	-3.510740	0.888600	0.496460
98	-3.758626	-3.513521	0.918182	0.509413
99	-3.766615	-3.514324	0.937662	0.451865
100	-3.764184	-3.514979	0.912843	0.515650
101	-3.766073	-3.507627	0.923737	0.469044
102	-3.765848	-3.512017	0.917460	0.487199
103	-3.769365	-3.496900	0.930664	0.502237
104	-3.768077	-3.512414	0.910317	0.439612
105	-3.767656	-3.507435	0.911039	0.474678
106	-3.767612	-3.500150	0.905051	0.479568
107	-3.766432	-3.512566	0.911905	0.535183
108	-3.761916	-3.508609	0.922511	0.464669
109	-3.766906	-3.497415	0.915152	0.488287
110	-3.768549	-3.512830	0.904618	0.484522
111	-3.770148	-3.509730	0.902742	0.507620
112	-3.769583	-3.505685	0.908586	0.499500
113	-3.771694	-3.510750	0.914719	0.466576
114	-3.765202	-3.501450	0.918687	0.476227
115	-3.777410	-3.503105	0.927778	0.524437
116	-3.772490	-3.516520	0.885498	0.469503
117	-3.772985	-3.495081	0.909235	0.447021
118	-3.768036	-3.504429	0.906854	0.536189
119	-3.765838	-3.518820	0.910823	0.473505
120	-3.770469	-3.503542	0.894156	0.497407
121	-3.769212	-3.506722	0.905916	0.480539
122	-3.769622	-3.523485	0.905556	0.495082
