Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
137	-0.778570	1.168071	0.930254	0.471597
138	0.782714	56.776881	0.900052	0.472222
139	-0.803995	148.856059	0.911520	0.512336
140	-0.692235	-0.283082	0.932071	0.507207
141	-0.704955	0.200563	0.902595	0.495713
142	-0.797204	3751.852434	0.859471	0.478011
143	-0.774387	1.424857	0.875246	0.493884
144	-0.786097	1.556319	0.886871	0.499892
145	1186.370787	99.998100	0.888324	0.491178
146	-0.483493	0.936893	0.904463	0.476937
147	-0.798598	7.665169	0.896004	0.505479
148	-0.796342	253.522666	0.901038	0.487836
149	-0.625747	1521.703289	0.871925	0.494328
150	-0.806058	0.454768	0.915257	0.477915
151	-0.808527	31.083617	0.893721	0.491112
152	-0.804497	10863.060145	0.858381	0.479360
153	-0.129039	1.052402	0.890296	0.503919
154	-0.806829	1.142157	0.918474	0.470703
155	70.067769	313.729504	0.867929	0.476283
156	68.671706	60.718091	0.907369	0.466126
157	-0.801871	63852.096558	0.892216	0.490816
158	-0.805911	1778.149680	0.903944	0.508618
159	-0.800318	628.062659	0.896679	0.487951
160	-0.811425	-0.067907	0.886923	0.484522
161	-0.305800	18.214626	0.915413	0.504913
162	10.116344	-0.321863	0.902283	0.499584
163	-0.814664	1.047450	0.894811	0.469353
164	-0.750937	28.337172	0.874312	0.495071
165	1983.017419	29.941088	0.901401	0.479526
166	-0.778957	56.118351	0.910846	0.470567
167	-0.680662	11288.787833	0.894811	0.517124
168	-0.812122	2433.241521	0.887442	0.483842
169	-0.814076	12.402313	0.893565	0.483502
170	-0.761046	50591.021689	0.847587	0.473972
