class,n_images,n_anomaly,pixel_auroc,pixel_ap,pixel_f1,aupro,pixel_ap_trivial,fps,latency_ms,levels,score_norm,tta,sigma,reflect_pad,border_margin,feat_norm,head_epoch
glass-insulator,678.0,87.0,0.953352594499678,0.007600731861503738,0.024985225270727923,0.6591264509039632,0.0001758706109656252,16.0133217231526,62.448005310114155,02,raw,flips,8.0,112.0,0.0,ON,
lightning-rod-suspension,163.0,46.0,0.8621987284550114,0.02413932567198995,0.049780197930190444,0.46254462511760724,0.005401141356657694,16.148017605883382,61.92710612574878,02,raw,flips,8.0,112.0,0.0,OFF,
polymer-insulator-upper-shackle,317.0,82.0,0.8504934982635682,0.030472572904067494,0.0587729410765644,0.593329912986821,0.007993000285682096,11.7010296116064,85.4625646796148,02,raw,flips,8.0,112.0,0.0,OFF,
vari-grip,154.0,40.0,0.8561257799804375,0.05486839871324656,0.1064078568790925,0.6124401756676848,0.012058722129273787,16.194292985662543,61.75014870271522,02,raw,flips,8.0,112.0,0.0,ON,
yoke-suspension,1253.0,46.0,0.9348299163180108,0.015290262519474488,0.05835666915698237,0.6685594127684501,0.0007207948054770592,16.69903667736831,59.88369385135068,02,raw,flips,8.0,112.0,0.0,OFF,
MEDIA,513.0,60.2,0.8914001035033412,0.026474258334056443,0.05966057806271152,0.5992001154889053,0.005269905837611252,15.351139720734647,66.29430373390873,,,,8.0,112.0,0.0,,
