pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L2,0.8579077824215504,0.04685544353637221,0.0871385547971155
0,reflect,none,L3,0.8141811985472045,0.034964431565722466,0.07220205875446246
0,reflect,flips,L2,0.8575204493089186,0.045891331598993806,0.08596082331779002
0,reflect,flips,L3,0.8236684991818244,0.037875508351819014,0.07768707321659378
112,reflect,none,L2,0.8665848547676946,0.0512094744917244,0.0945144675683598
112,reflect,none,L3,0.8195735218899561,0.03659079990525424,0.07501112670752165
112,reflect,flips,L2,0.8669794952264189,0.05033114765691103,0.0933627901799094
112,reflect,flips,L3,0.8299077697205531,0.04084747303901607,0.083407918112649
