pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.8849188806422749,0.06312537026618266,0.11895949298596041
0,reflect,none,L2,0.840038388288293,0.03970564520391563,0.07621323261060525
0,reflect,flips,L1,0.8864615817864778,0.06355061165921091,0.11888379727788796
0,reflect,flips,L2,0.8424463767183094,0.040010798866689276,0.07617066373591867
112,reflect,none,L1,0.8885878333251068,0.0654778544622173,0.12199949729797664
112,reflect,none,L2,0.8546274631673293,0.04435303759365329,0.08397134112437248
112,reflect,flips,L1,0.8898190481624206,0.06574867715228995,0.12178866234173034
112,reflect,flips,L2,0.8574909744551016,0.0450344959333213,0.08567581659659566
