Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
1	-3.104972	0.520759	0.937939	0.707798
2	-3.110969	49.019653	0.932237	0.715412
3	-3.115689	228.793257	0.938816	0.715553
4	-3.116368	43.252337	0.883553	0.699341
5	-3.129710	1954.284493	0.909649	0.696252
6	-3.130745	87.063630	0.910965	0.701877
7	-3.143452	1557.950975	0.921711	0.702776
8	-3.141036	465.607774	0.960965	0.719683
9	-3.147506	794.646907	0.953289	0.704424
10	-3.148990	11.683490	0.951974	0.711218
11	-3.158413	127.429841	0.905482	0.714514
12	-3.161206	283.430867	0.944518	0.711305
13	-3.164979	676.465777	0.947807	0.709999
14	-3.169899	86.367948	0.970614	0.719002
15	-3.179329	4302.020785	0.944298	0.703792
16	-3.176151	737.004134	0.869737	0.710423
17	-3.179285	733.864644	0.951096	0.711309
18	-3.185381	84.400980	0.957237	0.707387
19	-3.187896	273.784310	0.952851	0.714899
20	-3.189270	1313.046226	0.943640	0.698007
21	-3.194642	147.922379	0.955921	0.712612
22	-3.194979	37.206157	0.938816	0.717642
23	-3.202663	334.424087	0.932456	0.711177
24	-3.200054	3.850932	0.927193	0.713008
25	-3.204432	-2.039448	0.946491	0.710140
26	-3.208894	31.286621	0.970614	0.712868
27	-3.213158	-2.445117	0.946272	0.714085
28	-3.219213	8.199177	0.935307	0.718450
29	-3.216090	8.713966	0.937939	0.704939
30	-3.220541	-2.237008	0.959211	0.702357
31	-3.227811	16.941853	0.942982	0.720199
32	-3.226903	58.174182	0.949123	0.712926
33	-3.224932	-2.577307	0.948904	0.713080
34	-3.232369	-2.496324	0.934211	0.707641
35	-3.235009	-2.828172	0.939035	0.709682
36	-3.236710	-2.651249	0.938158	0.703537
37	-3.238857	-2.522381	0.947807	0.718046
38	-3.245695	-0.520342	0.932237	0.709412
39	-3.244605	-2.283355	0.956579	0.713099
40	-3.245941	-2.684069	0.963816	0.727321
41	-3.250268	-1.884258	0.956360	0.705076
42	-3.256360	17.734128	0.949123	0.705365
43	-3.257694	-2.631038	0.973246	0.709779
44	-3.255271	22.731539	0.965132	0.699389
45	-3.257664	5.818723	0.941447	0.716364
46	-3.260611	23.848851	0.940570	0.709276
47	-3.260782	-2.266580	0.936623	0.715409
48	-3.263910	1.885930	0.944298	0.715144
49	-3.262109	-2.601714	0.942544	0.705234
50	-3.265338	-2.648171	0.952412	0.699996
51	-3.267125	-2.613731	0.947149	0.711104
52	-3.269111	-2.407369	0.936184	0.726473
53	-3.271482	-2.794316	0.946711	0.719518
54	-3.278261	-2.609414	0.929167	0.710140
55	-3.277745	1.853467	0.942544	0.703275
56	-3.277350	-2.789415	0.939035	0.703222
57	-3.274542	-2.804090	0.935526	0.716768
58	-3.280949	-2.661626	0.949561	0.716607
59	-3.282948	-2.735802	0.938816	0.706523
60	-3.287085	-2.747806	0.929825	0.710285
61	-3.287638	-1.880243	0.949123	0.710556
62	-3.287605	-1.664494	0.934868	0.702749
63	-3.290769	-2.691712	0.944079	0.720721
64	-3.288032	-2.775018	0.967982	0.707955
65	-3.293897	-2.761527	0.929167	0.706467
66	-3.290562	-2.834711	0.954605	0.702970
67	-3.295835	-2.770365	0.937719	0.710812
68	-3.293663	-2.619181	0.944079	0.710987
69	-3.298483	-2.339638	0.947807	0.716916
70	-3.303871	-2.798289	0.953728	0.697651
71	-3.302288	-2.828546	0.934649	0.709836
72	-3.304200	-2.808063	0.955702	0.718125
73	-3.303922	-1.425816	0.944956	0.719055
74	-3.309990	6.302246	0.957895	0.705458
75	-3.308716	-2.638460	0.955702	0.709895
76	-3.307759	-2.805199	0.954825	0.720742
77	-3.311008	-2.862007	0.939254	0.706957
78	-3.310003	-1.646728	0.955044	0.708873
79	-3.312509	-2.050441	0.945395	0.698821
80	-3.317695	-2.863182	0.937500	0.706183
81	-3.315575	-2.814441	0.937719	0.730490
82	-3.321509	-2.825820	0.927193	0.715672
83	-3.310463	-2.819194	0.939035	0.708177
84	-3.316112	-2.856012	0.950000	0.722608
85	-3.322147	-2.807062	0.941228	0.699302
86	-3.322043	-2.827168	0.949561	0.711134
87	-3.321334	-2.798614	0.951974	0.710451
88	-3.319721	-2.851823	0.951754	0.717725
89	-3.329081	-2.778099	0.942544	0.708045
90	-3.326955	-2.835861	0.940789	0.714773
91	-3.323907	-2.814962	0.956360	0.703555
92	-3.330549	-2.837225	0.942982	0.714029
93	-3.327258	-2.838633	0.953289	0.706289
94	-3.327892	-2.809169	0.959211	0.716212
