tag,nf_head,levels,train_reflect_pad,feat_pool,feat_norm,no_rotation,epoch,train_pixel_auroc,best_val_name,best_val_metric,holdout_best_pixel_auroc,holdout_best_pixel_ap,holdout_best_aupro,holdout_baseline_pixel_auroc,holdout_baseline_aupro
featnorm,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_011651\train\featnorm\run_20260905_011656\best_models\best_pixel_auroc.pt,"[0, 1, 2]",0,0,True,False,40,0.849452262401675,pad112-reflect|tta=flips|raw|L=0|calib=l23|s=8|m=0|img=max,0.8991612050517842,0.9182153926840554,0.1128995140491606,0.7460596977438501,0.8568381127905924,0.668433838521559
featnorm_pad112,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_011651\train\featnorm_pad112\run_20260905_015854\best_models\best_pixel_auroc.pt,"[0, 1, 2]",112,0,True,False,35,0.8542267597511007,pad0--|tta=none|per_level_minmax|L=0|calib=l23|s=8|m=0|img=max,0.903865051221348,0.8799461964091353,0.0664144488695973,0.7244660809825464,0.8630741311185209,0.6272608540050125
featnorm_clamp19,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_011651\train\featnorm_clamp19\run_20260905_024534\best_models\best_pixel_auroc.pt,"[0, 1, 2]",0,0,True,False,35,0.7536920624873295,pad112-reflect|tta=none|raw|L=0|calib=none|s=8|m=0|img=max,0.913339625128808,0.9264001960043692,0.11342343270689002,0.7608907360232063,0.7707065422716256,0.6251759220117673
featnorm_pad112_clamp19,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_011651\train\featnorm_pad112_clamp19\run_20260905_040406\best_models\best_pixel_auroc.pt,"[0, 1, 2]",112,0,True,False,10,0.7538650889302743,pad112-reflect|tta=flips|raw|L=0|calib=l23|s=8|m=0|img=max,0.9094105612780573,0.9266989298803257,0.11233946511512895,0.7332904779351478,0.7501656226689645,0.6217580902157674
featnorm_l12,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_011651\train\featnorm_l12\run_20260905_052459\best_models\best_pixel_auroc.pt,"[0, 1]",0,0,True,False,40,0.8687510420124408,pad112-reflect|tta=flips|raw|L=0|calib=none|s=8|m=0|img=max,0.8989483348399807,0.9183894578712256,0.11146256656079147,0.7482000357823951,0.8606750707616561,0.6976030620900945
