Method,image_auc,pixel_auc,iou,dice,road_most,road_least,road_delta,sanity,time
GradCAM,,0.6575724118861294,0.08087013660662834,0.14568537035177095,1.9672375917434692,1.0772017240524292,0.89003586769104,0.2792298652521958,6.532619335651398
GradCAM++,,0.780046388381049,0.09544340389975452,0.17268239127012253,2.0349316596984863,0.3411850333213806,1.6937466263771057,0.5467661494028916,6.646588954925537
XGradCAM,,0.6575724145716448,0.08087007595307438,0.1456852642917116,1.967624306678772,1.0775370597839355,0.8900872468948364,0.2977170007733266,6.560277483463287
InputGradient,,0.8119713641294652,0.11135724933726725,0.19792006824556801,1.5191969871520996,0.39103367924690247,1.1281633079051971,0.6885034699490733,6.319221754074096
SEAttention,,0.7929564299970575,0.08584083927713759,0.1563499544593742,1.9866349697113037,0.345836341381073,1.6407986283302307,-0.0507843891682859,6.523554801940918
CFLOW,0.5,0.7928814380205422,0.09184541717997022,0.1660285078755248,2.451646089553833,0.4324181377887726,2.0192279517650604,-0.47570817784643543,0.0718009376525879
