Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC
1	-0.616890	39230465.084152	0.956140	0.699417
2	-0.620773	148530512.515569	0.941228	0.713861
3	-0.607844	147696964.472085	0.922588	0.715490
4	-0.619662	32349354.877511	0.916228	0.704200
5	-0.631369	3268545.152771	0.922149	0.701726
6	-0.634446	53012606.521515	0.904825	0.718550
7	-0.634884	33631172.567508	0.936623	0.713652
8	-0.631216	26396246.717088	0.957237	0.704523
9	-0.628494	8212027.850814	0.948904	0.704790
10	-0.631819	1554825.679318	0.928289	0.708886
11	-0.646175	3859432.341732	0.940570	0.710304
12	-0.643554	1249394.092199	0.905702	0.693134
13	-0.634718	2891290.135372	0.939693	0.709245
14	-0.635090	17761773.048334	0.952412	0.709700
15	-0.648709	8698737.790533	0.908991	0.700694
16	-0.650667	70166652.211630	0.933333	0.704987
17	-0.651232	5850484.080031	0.916447	0.701755
18	-0.646948	10856379.274010	0.947807	0.701542
19	-0.638768	268975.215291	0.923684	0.721973
20	-0.648702	6897934.781636	0.948465	0.704645
21	-0.656434	1139804.656615	0.925219	0.706605
22	1.618786	4095566.657887	0.926316	0.702895
23	-0.665945	14042104.736997	0.939693	0.710067
24	-0.422848	4929323.637559	0.910746	0.703295
25	-0.663057	1747723.005942	0.912939	0.704908
26	-0.665603	69526835.886542	0.912281	0.695118
27	150.999257	4024261.589968	0.933772	0.704657
28	28.753849	1838612.152401	0.948904	0.715304
29	-0.663970	852320.077922	0.958772	0.693958
30	-0.661789	11213108.078075	0.949781	0.697782
31	-0.673502	648730.863894	0.952412	0.699503
32	-0.668780	4003184.671099	0.922149	0.699870
33	6.871999	68014775.616361	0.921491	0.696637
34	-0.678071	9268868.824468	0.926096	0.698104
35	-0.685423	10125086.193868	0.930702	0.687607
36	-0.686250	48508920.526643	0.913377	0.698786
37	-0.685261	792116.572413	0.910746	0.709265
38	-0.698048	32809466.775812	0.916667	0.713495
39	-0.690102	1536768.973624	0.942105	0.704461
40	-0.694898	17842719.636051	0.914693	0.720640
41	-0.691826	76087966.980662	0.936404	0.709479
42	-0.709247	3185284.633444	0.897149	0.707393
43	-0.668825	5713336.821703	0.939035	0.706040
44	-0.695002	577048.308598	0.930702	0.696793
45	-0.695968	12581479.682031	0.928728	0.710243
46	-0.680891	6236453.227431	0.920614	0.711452
47	-0.698734	31744554.561512	0.944737	0.706657
48	-0.676388	66441182.332732	0.951316	0.698970
49	-0.694299	5145610.927936	0.923026	0.698843
50	-0.700338	1364756.129712	0.925658	0.701552
51	-0.699527	4343579.129960	0.931360	0.718706
52	-0.705667	243641.022298	0.933772	0.715496
53	-0.705142	7534731.981714	0.935746	0.713028
54	-0.711377	3681574.525849	0.930263	0.698886
55	-0.714936	4202032.371520	0.936842	0.696735
56	-0.706390	1456914.210996	0.907456	0.707197
57	-0.711636	140022.855631	0.930921	0.710726
58	-0.716969	2631339.429188	0.939035	0.706320
59	-0.708952	259394.381768	0.910526	0.690622
60	-0.715937	70567.300563	0.891228	0.708409
61	-0.726279	474799.324419	0.914912	0.704661
62	-0.719418	2640977.567921	0.914254	0.699614
63	-0.727494	478043.749842	0.929825	0.707580
64	-0.707746	372141.210203	0.916009	0.704180
65	-0.728825	7221946.735897	0.925439	0.692898
66	-0.719104	1507351.144673	0.914693	0.688464
67	-0.717879	381748.422330	0.903509	0.696066
