variant,flags,returncode,train_minutes,head
baseline,,0,76.38108661572139,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_190938\train\baseline\run_20260905_190942\best_models\best_pixel_auroc.pt
featnorm,--feat_norm,0,123.08901083866755,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_190938\train\featnorm\run_20260905_202613\best_models\best_pixel_auroc.pt
l23,"--levels 1,2",0,95.20477781693141,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_190938\train\l23\run_20260905_222915\best_models\best_pixel_auroc.pt
featnorm_clamp19,--feat_norm --clamp_scale 1.9,0,123.70441310008367,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_190938\train\featnorm_clamp19\run_20260906_000427\best_models\best_pixel_auroc.pt
