class,n_images,n_anomaly,pixel_auroc,pixel_ap,pixel_f1,aupro,pixel_ap_trivial,fps,latency_ms,levels,score_norm,tta,sigma,reflect_pad,border_margin,feat_norm,head_epoch
glass-insulator,678.0,87.0,0.953352594499678,0.007600731861503738,0.024985225270727923,0.6591264509039632,0.0001758706109656252,7.741861526524652,129.16790058487436,02,raw,flips,8.0,112.0,0.0,ON,
lightning-rod-suspension,163.0,46.0,0.8760752823884738,0.02966484458783615,0.06469659920768177,0.5400385556616873,0.005401141356657694,9.268389865733598,107.8936055222629,2,raw,flips,8.0,112.0,0.0,OFF,
polymer-insulator-upper-shackle,317.0,82.0,0.8524523676468241,0.03092614178034673,0.06473595743339551,0.5332237650292557,0.007993000285682096,5.309226092813645,188.35136845152624,2,raw,flips,8.0,112.0,0.0,OFF,
vari-grip,154.0,40.0,0.9191379707227635,0.09224727272489913,0.16361990072254967,0.7620550027400314,0.012058722129273787,7.604170118826776,131.50678961326116,0,raw,flips,8.0,112.0,0.0,ON,
yoke-suspension,1253.0,46.0,0.9348299163180108,0.015290262519474488,0.05835666915698237,0.6685594127684501,0.0007207948054770592,7.5015384844398785,133.30598810820706,02,raw,flips,8.0,112.0,0.0,OFF,
MEDIA,513.0,60.2,0.90716962631515,0.03514585069481205,0.07527887035826746,0.6326006374206775,0.005269905837611252,7.48503721766771,138.04513045602636,,,,8.0,112.0,0.0,,
