pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L2,0.7231474735540221,0.00030970420412455797,0.0009602194787379973
0,reflect,none,L3,0.9111100517073039,0.001839145025855758,0.006689762274519174
0,reflect,flips,L2,0.7365442712902941,0.0003285218616433652,0.0012790995139421847
0,reflect,flips,L3,0.9134985418739034,0.002407594965310272,0.011140712036812788
112,reflect,none,L2,0.7380783015555736,0.0003217672500252364,0.0007490972620052942
112,reflect,none,L3,0.913935617206714,0.0016645394343603704,0.005035434539350988
112,reflect,flips,L2,0.7527814803805318,0.00035240150330019006,0.0008230416333667435
112,reflect,flips,L3,0.9174351209111736,0.002049475166058064,0.006743142144638404
