class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
glass-insulator,0.784974,0.345000,0.425000,0.767484,0.000352,0.000894,0.101169,116.002802,128.934364,8.620481,7.755884,1.974790
lightning-rod-suspension,0.967298,0.950285,0.894118,0.822859,0.017957,0.041868,0.008742,116.890431,128.823357,8.555020,7.762567,2.487499
polymer-insulator-upper-shackle,0.955112,0.896517,0.842767,0.638884,0.009921,0.026523,0.064696,120.917010,132.851102,8.270135,7.527224,2.307462
vari-grip,0.918640,0.753687,0.750000,0.550341,0.012061,0.033630,0.000157,124.434108,134.726699,8.036382,7.422434,1.728755
yoke-suspension,0.953802,0.430119,0.524272,0.785331,0.002613,0.008691,0.311218,121.850265,133.538874,8.206794,7.488456,1.430517
MÉDIA,0.915965,0.675121,0.687231,0.712979,0.008581,0.022321,0.097196,120.018923,131.774879,8.337762,7.591313,1.985805
