Epoch	Train_Loss	Test_Loss	Image_AUROC	Pixel_AUROC	AUPRO	Pixel_AP	Pixel_F1max
50	-9.824975	-9.965959	0.447046	0.500000
51	-9.858739	-9.894510	0.413601	0.500000
52	-9.896922	-9.770351	0.362690	0.500000
53	-9.933593	-9.916388	0.419732	0.500000
54	-9.947291	-10.010950	0.437198	0.500000
55	-9.973424	-10.093827	0.393534	0.500000
56	-10.005818	-9.996691	0.431624	0.500000
57	-10.038223	-9.925667	0.428279	0.500000
58	-10.051929	-9.991601	0.420661	0.500000
59	-10.086104	-10.187950	0.437941	0.500000
60	-10.105476	-10.124085	0.429952	0.500000
61	-10.124113	-10.293767	0.440728	0.500000
62	-10.166234	-10.077318	0.399294	0.500000
63	-10.178273	-10.143603	0.451877	0.500000
64	-10.206029	-10.232837	0.502230	0.500000
65	-10.226885	-10.232329	0.455593	0.500000
66	-10.250221	-10.198032	0.472129	0.500000
67	-10.285178	-10.323046	0.461631	0.500000
68	-10.305266	-10.285895	0.463582	0.500000
69	-10.327104	-10.462291	0.451877	0.500000
70	-10.342821	-10.484874	0.489409	0.500000
71	-10.379869	-10.251724	0.455035	0.500000
72	-10.386745	-10.251006	0.477239	0.500000
73	-10.400678	-10.328300	0.528986	0.500000
74	-10.431726	-10.528563	0.579710	0.500000
75	-10.441840	-10.385760	0.657562	0.500000
76	-10.468072	-10.336935	0.616035	0.500000
77	-10.488763	-10.556511	0.675957	0.500000
78	-10.506765	-10.695849	0.617428	0.500000
79	-10.520010	-10.442547	0.698625	0.500000
80	-10.540063	-10.538887	0.666481	0.495428
81	-10.557315	-10.617389	0.606838	0.495928
82	-10.582351	-10.634263	0.612412	0.495522
83	-10.595767	-10.715023	0.599870	0.495870
84	-10.610896	-10.660388	0.657005	0.495257
85	-10.624669	-10.461097	0.626068	0.494291
86	-10.647126	-10.727806	0.655147	0.495739
87	-10.658716	-10.564163	0.665645	0.496218
88	-10.672247	-10.683732	0.642605	0.497042
89	-10.689989	-10.606429	0.654404	0.496764
90	-10.708705	-10.542891	0.682460	0.496737
91	-10.704915	-10.693939	0.589279	0.496941
92	-10.723045	-10.667334	0.655240	0.497140
93	-10.740757	-10.837898	0.606931	0.496602
94	-10.752663	-10.734765	0.584727	0.496919
95	-10.767881	-10.767027	0.659142	0.495915
96	-10.772366	-10.876692	0.622074	0.496218
97	-10.793769	-10.849582	0.582683	0.496740
98	-10.797295	-10.656784	0.606001	0.497345
99	-10.810154	-10.794141	0.646042	0.706492
100	-10.823870	-10.709533	0.688127	0.706531
101	-10.828619	-10.831685	0.631085	0.706738
102	-10.846600	-10.863933	0.596433	0.706808
103	-10.853933	-10.862158	0.559086	0.706953
104	-10.850141	-10.711862	0.628112	0.706934
105	-10.870804	-10.849309	0.584448	0.706855
106	-10.882366	-10.743666	0.553976	0.706931
107	-10.891911	-10.898752	0.715162	0.706871
108	-10.900331	-10.965392	0.658584	0.706998
109	-10.909527	-10.845307	0.658491	0.707085
110	-10.912839	-10.771477	0.643720	0.707057
111	-10.929846	-10.898816	0.681159	0.707225
112	-10.938793	-11.021396	0.620308	0.707179
113	-10.955210	-10.873868	0.663787	0.707327
114	-10.952585	-10.916238	0.579060	0.707401
115	-10.960138	-10.986814	0.619101	0.707113
116	-10.968256	-10.853757	0.687848	0.707169
117	-10.984413	-11.076475	0.588443	0.707417
118	-10.996534	-10.842741	0.618357	0.707109
