Method,pixel_auc,iou,dice,road_most,road_least,road_delta,sanity,time
GradCAM,0.6421361029116851,0.027837846408494134,0.053345926574535074,1.1735483,1.4941862,-0.32063782,0.19705335362147441,8.75057285256181
GradCAM++,0.8371257736420681,0.04094743428047764,0.07715992767380805,307.53763,0.79740083,306.74023,0.5364079579654355,11.53279554624499
XGradCAM,0.64213611251218,0.027837844788224042,0.0533459233778844,1.1721411,1.4923466,-0.32020557,0.22993596025180443,9.544917928660574
InputGradient,0.7907364848387936,0.04881789797618676,0.09056532668623168,2.6927269,1.4552069,1.23752,0.5986025877898973,7.697106889420492
SEAttention,0.7253284339313203,0.03604671234488249,0.06833003645584473,4.036616,0.6180908,3.418525,-0.04542838414336224,6.948416635302678
