Method,image_auc,pixel_auc,iou,dice,road_most,road_least,road_delta,sanity,time
GradCAM,,0.401881179152528,0.03934534851419445,0.07306567889734694,0.4219783842563629,0.5584599375724792,-0.13648155331611633,0.06617563484435322,10.810089099407197
GradCAM++,,0.8393107677128098,0.0694959384590951,0.12568802123906617,0.6276959180831909,0.3548310399055481,0.2728648781776428,0.5493330143610073,12.066577243804932
XGradCAM,,0.4018811843595425,0.03934534851419445,0.07306567889734694,0.4218907952308655,0.5585077404975891,-0.13661694526672363,0.022648594742943173,11.567990708351136
InputGradient,,0.798828155104752,0.05858761056605709,0.10766814408213132,0.6151077747344971,0.2413032352924347,0.3738045394420624,0.6698301699424701,11.590731585025788
SEAttention,,0.8675247225602455,0.07090063114740296,0.12702238625554543,0.5628725290298462,0.37400802969932556,0.18886449933052063,0.06821131567928508,11.645595717430115
CFLOW,0.5,0.8620417426557079,0.0549595935671547,0.10262838966447567,0.6464740037918091,0.3110252916812897,0.3354487121105194,0.05133954121148702,0.08242439031600952
