pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.7362663463562595,0.02040376496438453,0.04815658272900696
0,reflect,none,L2,0.8493533542182,0.030948303883155462,0.06953042979842142
0,reflect,none,L3,0.8461135931384628,0.02706783993087694,0.05361871365595913
0,reflect,flips,L1,0.7413133141684403,0.020610439959022182,0.048137217891452456
0,reflect,flips,L2,0.8556880440230126,0.03210287566612397,0.07073139950122562
0,reflect,flips,L3,0.8499120483256225,0.02871885915010767,0.055412391124536095
112,reflect,none,L1,0.747010899766839,0.021702905259875227,0.05131494177716665
112,reflect,none,L2,0.8640912424142064,0.03562640407982103,0.08044618834853125
112,reflect,none,L3,0.8506112978381782,0.027563350385066094,0.05495293136943731
112,reflect,flips,L1,0.7520082584257094,0.021848437325453197,0.051216664644843014
112,reflect,flips,L2,0.8692931684239281,0.03692273431978631,0.08189351993268193
112,reflect,flips,L3,0.8532516796911662,0.028656289151445545,0.05473677957747949
