class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
vari-grip,0.918640,0.753687,0.750000,0.877029,0.060398,0.111424,0.645127,124.721280,136.363580,8.017878,7.333336,1.728755
MÉDIA,0.918640,0.753687,0.750000,0.877029,0.060398,0.111424,0.645127,124.721280,136.363580,8.017878,7.333336,1.728755
