variant,flags,returncode,train_minutes,head
baseline,,0,36.15123587846756,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_145528\train\baseline\run_20260905_145533\best_models\best_pixel_auroc.pt
featnorm,--feat_norm,0,50.32921745379766,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_145528\train\featnorm\run_20260905_153143\best_models\best_pixel_auroc.pt
featnorm_clamp19,--feat_norm --clamp_scale 1.9,0,62.426597762107846,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_145528\train\featnorm_clamp19\run_20260905_162207\best_models\best_pixel_auroc.pt
featnorm_l12,"--feat_norm --levels 0,1",0,48.76480091412862,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260905_145528\train\featnorm_l12\run_20260905_172432\best_models\best_pixel_auroc.pt
