class,sigma,smoothing,n_images,image_auroc,image_ap,image_f1,latency_pixel_ms,pixel_auroc,pixel_ap,pixel_f1,aupro
vari-grip,0.0,none,12,0.7777777777777778,0.7996031746031745,0.7999999952000001,21.540208312217146,0.5594117252379303,0.026641065502839758,0.06970312595492639,0.13294321932720474
vari-grip,4.0,4,12,0.7777777777777778,0.7996031746031745,0.7999999952000001,21.540208312217146,0.547740413430299,0.026030871385138436,0.06905345600448208,0.1267428169982639
