Method,image_auc,pixel_auc,iou,dice,road_most,road_least,road_delta,time
GradCAM,,0.6671625990260855,0.0012988241841342463,0.002578441870605677,0.96087247133255,1.1574220657348633,-0.19654959440231323,6.479202063083648
GradCAM++,,0.8097765864202597,0.002114797690528836,0.004204173725624894,1.2403290271759033,0.9924620985984802,0.2478669285774231,6.411164126396179
XGradCAM,,0.6671625864927537,0.0012988239398029492,0.002578441382966263,0.9595504999160767,1.155730128288269,-0.19617962837219238,6.4506531739234925
InputGradient,,0.7854234507252023,0.002409027948267768,0.004785032367583245,0.9308332204818726,0.689889132976532,0.24094408750534058,6.536943175792694
SEAttention,,0.7075379393449606,0.001720597523102862,0.003415522339120737,0.9353623986244202,0.8197280764579773,0.11563432216644287,6.5059912037849426
CFLOW,0.5,0.8016409176069922,0.0020246667468262276,0.0040297097762903465,1.3334147930145264,0.8665540814399719,0.46686071157455444,0.07150074481964111
