variant,flags,returncode,train_minutes,head
baseline,,0,128.1373574535052,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_222906\train\baseline\run_20260906_222910\best_models\best_pixel_auroc.pt
featnorm,--feat_norm,0,136.6769119143486,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_222906\train\featnorm\run_20260907_003721\best_models\best_pixel_auroc.pt
featnorm_clamp19,--feat_norm --clamp_scale 1.9,0,189.43516157865525,C:\Users\teo-s\Documents\GitHub\anomaly-v3\anomaly-detection-pesquisa\differnet\resultado_analise_final\ablacao_nf_head\run_20260906_222906\train\featnorm_clamp19\run_20260907_025405\best_models\best_pixel_auroc.pt
