class,n_images,n_anomaly,pixel_auroc,pixel_ap,pixel_f1,aupro,pixel_ap_trivial,fps,latency_ms,levels,score_norm,tta,sigma,reflect_pad,border_margin,feat_norm,head_epoch
vari-grip,8.0,4.0,0.9441013552191321,0.18180331900686109,0.2699200829742894,0.8538181916389642,0.01971996073820153,10.378374790084218,96.35419998085126,02,raw,flips,8.0,112.0,0.0,selective(L1),
MEDIA,8.0,4.0,0.9441013552191321,0.18180331900686109,0.2699200829742894,0.8538181916389642,0.01971996073820153,10.378374790084218,96.35419998085126,,,,8.0,112.0,0.0,,
