pad,pad_mode,tta,level,pixel_auroc,pixel_ap,pixel_f1
0,reflect,none,L1,0.7517793694024238,0.021182598542586337,0.04923471837094433
0,reflect,none,L2,0.781912730612419,0.023188269907122493,0.07469698973070651
0,reflect,none,L3,0.8159743793948204,0.023127847530245806,0.0453490662489565
0,reflect,flips,L1,0.7546183401824194,0.02174706187466035,0.051382076105779495
0,reflect,flips,L2,0.7483690591375562,0.017633330008740247,0.04706742305064277
0,reflect,flips,L3,0.82692203536158,0.024649281524175913,0.05073195192781159
112,reflect,none,L1,0.7574846313270021,0.021883608035896816,0.05065441614158809
112,reflect,none,L2,0.8537275859654547,0.03780585330407713,0.09212326917190343
112,reflect,none,L3,0.818101581008202,0.023482802564355972,0.04551676876405058
112,reflect,flips,L1,0.7601050184752637,0.022404910964246495,0.0527512538342147
112,reflect,flips,L2,0.8655872331802533,0.04500989316284187,0.10015664287681188
112,reflect,flips,L3,0.8305684050239993,0.026744711278014865,0.05555289238624477
