class,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,aupro,fps_image,fps_pixel,latency_image_ms,latency_pixel_ms,image_threshold
glass-insulator,0.784974,0.345000,0.425000,0.686591,0.000257,0.000717,0.301787,118.304349,14.595210,8.452775,68.515631,1.974790
lightning-rod-suspension,0.967298,0.950285,0.894118,0.829623,0.027335,0.073273,0.501227,118.109446,14.027387,8.466723,71.289115,2.487499
polymer-insulator-upper-shackle,0.955112,0.896517,0.842767,0.709890,0.016710,0.043543,0.222160,118.688842,14.405125,8.425392,69.419740,2.307462
vari-grip,0.918640,0.753687,0.750000,0.876497,0.055022,0.113933,0.667189,117.634055,13.961676,8.500940,71.624637,1.728755
yoke-suspension,0.953802,0.430119,0.524272,0.345094,0.000494,0.001512,0.089482,120.597126,14.876820,8.292072,67.218668,1.430517
MÉDIA,0.915965,0.675121,0.687231,0.689539,0.019964,0.046596,0.356369,118.666764,14.373243,8.427580,69.613558,1.985805
